"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_raca_ignorada","tipo_gravidez_unica","tipo_gravidez_dupla","tipo_gravidez_tripla_ou_mais","tipo_gravidez__ignorada","gestacao_menos_de_22_semanas","gestacao_22_a_27_semanas","gestacao_28_a_31_semanas","gestacao_32_a_36_semanas","gestacao_37_a_41_semanas","gestacao_42_semanas_ou_mais","gestacao_ignorada","peso_menos_500g","peso_500_a_999g","peso_1000_a_1499g","peso_1500_a_2499g","peso_2500_a_2999g","peso_3000_a_3999g","peso_4000g_ou_mais","peso_ignorado","anomalia_presente","anomalia_nao_presente","anomalia_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","tipo_de_parto_vaginal","tipo_de_parto_cesariano","tipo_de_parto_ignorado","idade_mae_menos_10_anos","idade_mae_10_a_14_anos","idade_mae_15_a_19_anos","idade_mae_20_a_24_anos","idade_mae_25_a_29_anos","idade_mae_30_a_34_anos","idade_mae_35_a_39_anos","idade_mae_40_a_44_anos","idade_mae_45_a_49_anos","idade_mae_50_a_54_anos","idade_mae_55_a_59_anos","idade_mae_60_a_64_anos","idade_mae_65_a_69_anos","idade_mae_ignorada","mae_sem_escolaridade","tempo_de_estudo_mae_1_a_3_anos","tempo_de_estudo_mae_4_a_7_anos","tempo_de_estudo_mae_8_a_11_anos","tempo_de_estudo_mae_mais_de_12_anos","tempo_de_estudo_mae_ignorado","estado_civil_mae_solteira","estado_civil_mae_casada","estado_civil_mae_viuva","estado_civil_mae_separada_judicialmente","estado_civil_mae_uniao_consensual","estado_civil_mae_ignorado"
"2016","120045",SENADOR GUIOMARD,0,1,0,41,0,1,39,2,0,2,0,0,1,0,35,2,5,0,0,0,6,12,23,2,0,1,42,0,23,20,0,41,0,2,0,0,12,12,3,10,3,3,0,0,0,0,0,0,4,2,10,24,0,3,11,6,0,0,26,0
"2016","120050",SENA MADUREIRA,9,0,1,584,18,0,600,9,0,3,0,1,2,46,519,34,10,1,2,0,22,117,435,27,8,0,611,1,326,286,0,466,145,1,0,20,184,166,103,78,47,12,1,0,0,0,0,1,44,65,190,282,24,7,97,95,1,2,414,3
"2016","120060",TARAUACA,15,10,1,958,109,20,1089,16,0,8,0,7,15,133,728,116,114,1,3,3,37,157,750,120,42,4,1098,11,582,530,1,739,356,18,0,33,349,307,196,133,73,22,0,0,0,0,0,0,62,149,331,503,52,16,301,144,1,4,650,13
"2016","120070",XAPURI,8,1,0,96,0,16,118,1,0,2,0,0,1,19,87,8,6,0,0,0,7,25,80,8,1,0,119,2,74,47,0,118,0,3,0,2,34,30,30,13,12,0,0,0,0,0,0,0,10,0,39,61,4,7,41,18,0,0,36,26
"2016","120080",PORTO ACRE,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2016","130002",ALVARAES,3,1,0,169,33,0,204,2,0,0,0,0,0,16,172,14,4,0,0,0,13,45,143,5,0,1,205,0,106,100,0,199,7,0,0,8,80,66,29,13,9,1,0,0,0,0,0,0,4,13,64,122,3,0,144,10,0,0,52,0
"2016","130006",AMATURA,0,0,0,106,154,0,260,0,0,0,2,4,6,40,188,16,4,0,0,1,9,58,186,5,1,2,258,0,129,131,0,254,5,1,0,5,66,82,57,27,19,4,0,0,0,0,0,0,14,38,95,107,3,3,160,10,0,0,90,0
"2016","130008",ANAMA,3,1,0,154,15,1,170,2,0,2,0,0,0,10,149,11,4,0,0,0,6,35,123,8,2,0,174,0,87,87,0,133,38,3,0,3,49,51,42,18,9,2,0,0,0,0,0,0,0,12,45,109,8,0,116,24,0,0,34,0
"2016","130010",ANORI,0,1,0,274,0,0,272,2,0,1,0,0,3,26,210,26,10,2,1,0,13,46,197,16,0,0,275,0,136,139,0,171,104,0,0,4,85,86,53,34,10,3,0,0,0,0,0,0,1,9,71,152,12,30,120,39,0,1,113,2
"2016","130014",APUI,36,7,0,185,3,2,226,6,0,1,0,1,0,20,188,20,4,1,1,2,8,36,169,16,0,0,233,0,118,115,0,125,107,1,0,5,60,80,51,27,8,2,0,0,0,0,0,0,3,10,61,135,20,4,48,41,2,1,135,6
"2016","130020",ATALAIA DO NORTE,5,5,1,100,192,1,304,0,0,0,0,0,6,52,217,26,3,0,0,1,21,76,189,17,0,1,302,1,161,143,0,303,1,0,0,14,69,92,59,38,20,7,5,0,0,0,0,0,121,32,60,57,2,32,46,8,0,0,246,4
"2016","130030",AUTAZES,41,18,1,369,376,10,812,3,0,0,0,0,0,113,653,49,0,1,0,1,40,165,564,44,0,2,812,1,416,399,0,602,213,0,0,25,248,241,147,94,46,13,1,0,0,0,0,0,14,30,249,479,32,11,696,105,0,0,5,9
"2016","130040",BARCELOS,9,2,0,162,316,0,487,2,0,0,0,2,4,48,420,15,0,0,1,1,33,169,260,24,1,1,484,4,241,248,0,415,72,2,0,13,143,139,95,48,33,12,0,1,0,0,0,5,106,13,78,189,11,92,199,78,0,1,209,2
"2016","130050",BARREIRINHA,7,8,0,459,92,0,557,8,0,1,0,1,0,7,556,1,1,0,1,2,37,127,367,32,0,6,560,0,301,265,0,484,81,1,0,10,169,146,121,79,30,8,1,2,0,0,0,0,10,34,188,317,17,0,128,82,0,1,355,0
